Org,Site ID,Name in EC,Latitude,Longitude,Watercourse (if known),"Catchment (or ""tbc"")"
CPRE,CPRE171,"CPRE171: Upton Brook, Lynch Lane",52.286139,-2.664494,Upton Brook,[Teme east area]
CPRE,CPRE172,"CPRE172: Upton Brook, Upper Upton Farm",52.293161,-2.663188,Upton Brook,[Teme east area]
CPRE,CPRE173,"CPRE173: West Brook, West Brook cottage",52.30521,-2.659712,West Brook,[Teme east area]
CPRE,CPRE174,"CPRE174: River Teme, little Hereford bridge",52.309701,-2.666619,Teme,[Teme east area]
CPRE,CPRE175,CPRE175: Brook House Brook,52.321781,-2.668608,Misc,[Teme east area]
CPRE,CPRE176,"CPRE176: Brimfield Brook, Brimfield Hall",52.308136,-2.697001,Brimfield Brook,[Teme east area]
CPRE,CPRE177,CPRE177: Tenbury Kyre Brook,52.311337,-2.591914,Kyre Brook,[Teme east area]
CPRE,CPRE178,CPRE178: Brk at Snowhill Cottage Putley green,52.027012,-2.512331,Misc,[Ledbury area]
CPRE,CPRE179,"CPRE179: Brk at Kynaston , Much Marcle",52.020814,-2.521527,Misc,[Ledbury area]
CPRE,CPRE180,"CPRE180: Preston Brook, new House Bridge",52.002771,-2.461829,Preston Brook,[Ledbury area]
CPRE,CPRE181,"CPRE181: Ludstock Brook, Little Marcle Rd",52.034062,-2.465021,Ludstock Brook,[Ledbury area]
CPRE,CPRE183,CPRE183: Pontrilas,51.943986,-2.881649,"Dulas, Ewyas Harold",Dulas Bk - source to conf R Dore
CPRE,CPRE185,"CPRE185: Oxlet Brook, Walford",51.864483,-2.592171,Oxlet Brook,Wye - conf Walford Bk to Bigsweir Br
CPRE,CPRE187,"CPRE187: Marling Pitts Brook, Howle Hill, Walford",51.8816,-2.58616,Marling Pitts Brook,Walford Bk - source to conf R Wye
CPRE,CPRE189,CPRE189: Unnamed Brook above Dunderhole,51.871689,-2.577045,Misc,Wye - conf Walford Bk to Bigsweir Br
CPRE,CPRE190,"CPRE190: Castlebrook, Bulls Hill, Walford",51.88693,-2.58922,Castle Brook,Walford Bk - source to conf R Wye
CPRE,CPRE192,"CPRE192: Plainsbrook, Yarpole",52.279101,-2.777502,PlainsBrook,Ridgemoor Bk - source to conf R Lugg
CPRE,CPRE193,CPRE193: Llanfairwaterdine bridge,52.377352,-3.110345,Teme,[Teme west area]
CPRE,CPRE194,"CPRE194: River Teme, Little Hereford Church",52.307809,-2.655554,Teme,[Teme east area]
CPRE,CPRE195,"CPRE195: River Redlake, Leintwardine",52.367234,-2.892447,Redlake,[Teme west area]
CPRE,CPRE196,"CPRE196: River Clun, Jay Bridge",52.369393,-2.891251,Clun,[Teme west area]
CPRE,CPRE197,"CPRE197: River Teme, Buckton Bridge",52.352082,-2.901431,Teme,[Teme west area]
CPRE,CPRE198,"CPRE198: Escley Brook, Longtown",51.953442,-2.979604,Escley Brook,Escley Bk - source to conf R Monnow
CPRE,CPRE199,CPRE199: River Mynwg Clodock Longtown,51.953145,-2.980959,Afon Mynwg,Monnow  - source to conf Escley Bk
CPRE,CPRE200,"CPRE200: Monnow, Clodock Bridge",51.941424,-2.980584,Monnow,Monnow - conf Escley Bk to conf Afon Honddu
CPRE,CPRE201,CPRE201: Near Junction with Cumcoched Longtown,51.938133,-2.985681,Afon Mynwg,Monnow - conf Escley Bk to conf Afon Honddu
CPRE,CPRE202,"CPRE202: Olchon Brook, Longtown Ford",51.950473,-2.985726,Olchon Brook,Olchon Bk - source to conf R Monnow
CPRE,CPRE203,"CPRE203: Olchon Brook, Turnant",51.961965,-3.002869,Olchon Brook,Olchon Bk - source to conf R Monnow
CPRE,CPRE204,"CPRE204: Monnow, Llanveynoe (Monnow Farm)",51.979396,-3.006456,Monnow,Monnow  - source to conf Escley Bk
CPRE,CPRE205,"CPRE205: Escley Brook, Sunnybank",51.974221,-2.969954,Escley Brook,Escley Bk - source to conf R Monnow
CPRE,CPRE206,"CPRE206: Monnow, Crucorney Pandy",51.90466,-2.967702,Monnow,Monnow - conf Escley Bk to conf Afon Honddu
CPRE,CPRE207,"CPRE207: Honddu, Wooden Bridge",51.904094,-2.967396,Honddu,Afon Honddu - source to conf R Monnow
CPRE,CPRE208,"CPRE208: Wye, the Gatehouse Hole in the Wall",51.955813,-2.568228,Wye,Wye - Hampton Bishop to conf Kerne Br
CPRE,CPRE209,"CPRE209: Escley Brook, The Groves Longtown",51.956137,-2.978467,Escley Brook,Escley Bk - source to conf R Monnow
CPRE,CPRE210,"CPRE210: Olchon, Glandwr, Llanveynoe",51.978544,-3.036575,Olchon Brook,Olchon Bk - source to conf R Monnow
CPRE,CPRE211,"CPRE211: Olchon, Llanveynoe",51.985082,-3.045759,Olchon Brook,Olchon Bk - source to conf R Monnow
CPRE,CPRE212,CPRE212: Brass Knoll,51.970464,-3.012825,Olchon Brook,Olchon Bk - source to conf R Monnow
CPRE,CPRE213,CPRE213: Court llaca,51.969519,-2.989508,Monnow,Monnow  - source to conf Escley Bk
CPRE,CPRE214,"CPRE214: Arrow, Eardisland Bridge",52.223413,-2.850841,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE215,"CPRE215: Arrow, Bridge Ivington Rd Nr Newtown",52.20929,-2.770503,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE216,"CPRE216: Arrow, Bridge Broadward, Leominster",52.209371,-2.736368,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE217,"CPRE217: Curl Brook, Holme Marsh Lyonshall",52.193146,-2.969795,Curl Brook,Curl Bk - source to conf R Arrow
CPRE,CPRE218,CPRE218: Unnamed feeder brook to Wye Lower Welson,52.143718,-3.028107,Misc,Willersley Bk - source to conf R Wye
CPRE,CPRE219,CPRE219: Unnamed Brook Woods Eaves Lower Welson,52.135578,-3.041908,Misc,Willersley Bk - source to conf R Wye
CPRE,CPRE220,"CPRE220: Unnamed Brook Gypsy Hall Bridge, Ameley",52.144499,-2.999714,Misc,Kinnersley Bk - source to conf R Wye
CPRE,CPRE221,"CPRE221: Arrow, Mahollam Bridge",52.182258,-3.064524,Arrow,Arrow - source to conf Gladestry Bk
CPRE,CPRE222,"CPRE222: Arrow, Hergest Bridge",52.189589,-3.054624,Arrow,Arrow - conf Gladestry Bk to conf Gilwern Bk
CPRE,CPRE223,"CPRE223: Back Brook, Floodgates, Montfort Rd, Kington",52.206433,-3.043889,Back Brook,Gilwern Bk - source to conf R Arrow
CPRE,CPRE224,"CPRE224: Arrow, Nr Downfield Fm Kington",52.209317,-3.002004,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
CPRE,CPRE225,"CPRE225: Arrow, Tittley Mill Lyonshall",52.220771,-2.984034,Arrow,Arrow - conf Gilwern Bk to conf R Lugg
